지사,제설제사용량(ton),지사별관리연장(km)
강릉,3571,294.5
경기광주,2138,182.3
경주,222.6,245.3
고령,1294.4,325.8
고성,289.6,158.5
공주,2256.9,246.9
광주,1045,291.7
구례,1966,294
구미,702.2,479.9
군위,1270.2,341.3
군포,2238,351.8
남원,2341.3,237.4
논산,1592,267.4
담양,1724.7,228.8
당진,2917.6,285.3
대관령,5309,280.6
대구,829,288.9
대전,1303.7,339.7
동서울,1467,309.6
무주,3227,290.4
보령,1596.5,274.7
보성,1597,368.5
보은,3107.8,270.4
부안,2183.5,307
부여,1579,208
산청,591.3,255.6
상주,1390.9,265.8
서울산,557.9,245
성주,1170,233.7
수원,2456.4,541.4
순천,548,277.8
시흥,2134.4,344.6
양산,520.5,230.7
양양,3186,91.9
엄정,1972,308.5
영동,3300,313
영주,1175.4,250.2
영천,475.2,280.2
울산,411.1,231.4
원주,2397.5,310.1
이천,2617.5,383.9
인천,1258.4,250.6
전주,1114,264.5
제천,3650,230.6
진안,2556.4,219.9
진주,525.3,424.7
진천,2219.5,290.1
창녕,463.4,265.8
창원,660.3,461.5
천안,1475.5,418.6
청송,2265.6,371.7
춘천,3362.8,311.1
충주,1747.8,231.7
함평,2758.3,345.1
홍천,2813,257.1
화성,3045.3,400.9
