순위,예측연도,본부,지사,종점지사,행선,노선,차선,시점,종점,연장,평균RMI,9이상 비율
1,2021,충북,진천,진천,통영,통영대전중부선,2,247.4,254.5,7.1,9.065 ,66.67%
2,2021,수도권,동서울,동서울,기점,수도권제1순환선,2,17.1,28.6,11.5,8.307 ,52.17%
3,2021,충북,진천,진천,통영,통영대전중부선,2,284.7,321.4,36.7,8.681 ,45.06%
4,2021,충북,제천,제천,춘천,중앙선,2,253.4,256.6,3.2,7.465 ,41.67%
5,2021,충북,진천,진천,통영,통영대전중부선,2,278,281.3,3.3,8.650 ,40.00%
6,2021,충북,진천,진천,통영,통영대전중부선,2,258.4,263.7,5.3,8.153 ,36.84%
7,2021,전북,진안,진안,포항,새만금포항선,2,24.5,27.6,3.1,7.345 ,36.36%
8,2021,수도권,군포,군포,강릉,영동선,2,10.4,15,4.6,7.603 ,31.25%
9,2021,대구경북,대구,구미,서울,경부선,2,138.1,141.1,3,7.063 ,25.00%
10,2021,충북,진천,진천,서울,통영대전중부선,2,287.7,323,35.3,7.608 ,23.93%
11,2021,수도권,동서울,동서울,종점,수도권제1순환선,2,19.6,28.6,9,7.620 ,22.73%
12,2021,대전충남,영동,영동,부산,경부선,2,254.5,258.4,3.9,7.481 ,22.73%
13,2021,충북,진천,진천,서울,통영대전중부선,2,256.9,273.1,16.2,7.529 ,21.93%
14,2021,수도권,인천,시흥,종점,수도권제1순환선,2,91.2,94.8,3.6,7.151 ,21.43%
15,2021,전북,보령,보령,목포,서해안선,2,217.4,220.4,3,7.102 ,17.65%
16,2021,대전충남,당진,당진,서울,서해안선,2,281.4,284.4,3,7.037 ,17.39%
17,2021,수도권,군포,군포,인천,영동선,2,10.4,17.1,6.7,7.360 ,17.14%
18,2021,충북,제천,제천,춘천,중앙선,2,298.8,301.9,3.1,7.130 ,16.67%
19,2021,부산경남,진주,진주,부산,남해선,2,47.2,52.7,5.5,7.053 ,15.63%
20,2021,전북,무주,무주,서울,통영대전중부선,2,160.4,165.8,5.4,7.114 ,14.81%
21,2021,수도권,군포,군포,강릉,영동선,2,17.3,33.3,16,7.337 ,14.56%
22,2021,부산경남,진주,진주,영암,남해선,2,46.7,51.8,5.1,7.169 ,12.90%
23,2021,수도권,군포,군포,인천,영동선,2,19.6,35.3,15.7,7.007 ,12.82%
24,2021,충북,진천,진천,서울,통영대전중부선,2,247.4,250.4,3,7.860 ,12.50%
25,2021,충북,제천,홍천,춘천,중앙선,2,313,319.2,6.2,7.298 ,12.12%
26,2021,충북,진천,진천,통영,통영대전중부선,2,267.8,273.1,5.3,7.149 ,11.43%
27,2021,대구경북,영주,영주,춘천,중앙선,2,189.6,195.2,5.6,7.127 ,11.11%
28,2021,강원,홍천,홍천,부산,중앙선,2,360.3,369,8.7,7.114 ,10.00%
29,2021,강원,이천,이천,인천,영동선,2,68.3,73.9,5.6,7.320 ,9.52%
30,2021,전북,보령,보령,목포,서해안선,2,209.1,212.1,3,7.240 ,9.09%
31,2021,강원,홍천,홍천,부산,중앙선,2,330.6,336.9,6.3,7.000 ,8.70%
32,2021,수도권,인천,인천,기점,수도권제1순환선,2,91.2,94.6,3.4,7.238 ,8.33%
33,2021,강원,이천,이천,인천,영동선,2,82.3,86.9,4.6,7.040 ,8.00%
34,2021,강원,홍천,홍천,춘천,중앙선,2,360.7,368.8,8.1,7.188 ,7.50%
35,2021,부산경남,산청,산청,통영,통영대전중부선,2,99.7,106.4,6.7,7.065 ,5.88%
36,2021,수도권,화성,화성,제천,평택제천선,2,22,25.4,3.4,7.102 ,5.00%
37,2021,전북,진안,진안,포항,새만금포항선,2,47.1,51.2,4.1,7.172 ,4.76%
38,2021,충북,상주,상주,내서,중부내륙선,2,179.9,184.1,4.2,7.087 ,4.55%
39,2021,부산경남,진주,진주,부산,남해선,2,42.7,45.7,3,7.398 ,0.00%
40,2021,강원,이천,이천,강릉,영동선,2,71.3,74.3,3,7.072 ,0.00%
